OBJECTID,ID_CD,PO_CD,CLASS_CD,SEQNO,KOR_NM,ENG_NM,DSTRC_NM,APPN_NO,CRLTS_CO,CRLTS_QY,AREA,LNM_ADRES,RDNMADR,CRLTS_SE,CRLTS_CL,SPCFC_NM,ERA_SE,PRSRV_SE,OWNER_NM,MNGR_NM,MNTRNG_YN,PROGRM_SE,ELEVATION,LONGITUDE,LATITUDE,SYMBOL_CD,INTRO
17,020111020005,0201,1102,0005,공주 갑사 석가여래삼세불도 및 복장유물,Gapsa Sakyamuni samsebuldo,갑사지구,제1651호,1,2,0.00000000000,충청남도 공주시 계룡면 중장리,,기타유형,회화,문화유산지구,조선시대,2,대한불교 조계종 갑사,대한불교 조계종 갑사,0,2,185.00000000000,127.18773220000,36.36575870000,Y,공주 갑사 석가여래삼세불도는 조선후기(18세기)의 대표적인 화사인 의겸(儀謙)이 그린 불화이다. 길이 4m의 3폭 형식의 대형 3폭 삼세불 형식의 탱화는 매우 희귀하며 운흥사 삼세불도나 화엄사 삼신불도 등이 대표적인 예이다.
18,020111020009,0201,1102,0009,월인석보목판,Wolinseokbo woodcut,갑사지구,제582호,1,31,0.00000000000,충청남도 공주시 계룡면 중장리 52 갑사,충청남도 공주시 계룡면 갑사로 567-3,기타유형,조각,문화유산지구,조선시대,2,갑사,갑사,0,2,185.00000000000,127.18773290000,36.36576030000,Y,이 판목은 월인석보를 새겨 책으로 찍어내던 판각으로서 우리나라에 남아있는 것중 유일한 판목이다. 월인석보는 월인천강지곡과 석보상절을 합하여 1459년(세조 5)에 편찬한 불교대장경으로 석보는 석가모니불의 연보 즉 그의 일대기라는 뜻이다.
19,020111080002,0201,1108,0002,갑사 소조삼세불,Gapsa Neap samsebul,갑사지구,제165호,1,7,0.00000000000,충청남도 공주시 계룡면 중장리 52,충청남도 공주시 계룡면 갑사로 567-3,종교신앙유적,불상,문화유산지구,시대미상,2,갑사,갑사,0,2,185.00000000000,127.18766830000,36.36539400000,Y,갑사 대웅전에 모셔진 삼세불로 흙으로 만들어서 구운 앉아있는 불상이다. 중앙의 석가모니불(높이 255㎝)은 둥근 얼굴에 백호가 조각되어 있으며 목에는 삼도가 있다.
20,020111080007,0201,1108,0007,갑사 대웅전,Gapsa Daeungjeon,갑사지구,제105호,1,1,0.00000000000,충청남도 공주시 계룡면 중장리 52,충청남도 공주시 계룡면 갑사로 567-3,종교건축,불교건축(사찰),문화유산지구,조선시대,1,갑사,갑사,0,1,185.00000000000,127.18758320000,36.36537990000,Y,"공주시 계룡면 중장리에 소재하고 있는 갑사 대웅전은 1984년 1월 11일 충청남도 유형문화재 제105호로 지정되었으며 현재 갑사에서 소유, 관리하고 있다."
21,020111120001,0201,1112,0001,갑사 중사자암지 삼층석탑,Jungsajaamji three-storied pagoda,갑사지구,제55호,1,1,0.00000000000,충청남도 공주시 계룡면 중장리 54,,종교신앙유적,불탑,문화유산지구,고려시대,2,갑사,갑사,0,2,185.00000000000,127.18764820000,36.36551370000,Y,충청남도 공주시 계룡면 중장리에 소재하고 1984.5.17. 문화재자료 제68호로 지정되었다. 갑사 대웅전의 오른쪽에 놓인 고려시대 탑으로 원위치는 갑사의 암자인 사자암이었으나 갑사의 대적전 뒤로 옮겼다가 현재 자리에 옮겨 세웠다.
22,020111120007,0201,1112,0007,갑사 삼성각,Samseonggak,갑사지구,제53호,1,1,0.00000000000,충청남도 공주시 계룡면 중장리 54,,종교건축,불교건축(사찰),문화유산지구,조선시대,1,갑사,갑사,0,1,185.00000000000,127.18778790000,36.36519550000,Y,충청남도 공주시 계룡면 중장리 갑사 대웅전의 오른쪽에 자리한 삼성각은 1984.5.17. 문화재자료 제53호로 지정되었으며 현재 갑사에서 소유 관리하고 있다.
23,020111020007,0201,1102,0007,공주 갑사 승탑,Gapsa Seungtap,갑사지구,제257호,1,1,0.00000000000,충청남도 공주시 계룡면 중장리 59,충청남도 공주시 계룡면 갑사로 568-2,종교신앙유적,부도,문화유산지구,고려시대,2,갑사,갑사,0,1,170.00000000000,127.18644260000,36.36438950000,Y,이 부도는 전체적인 구성과 세련된 조각기법이 돋보이는 고려전기 부도이다. 본래 갑사 뒤편 중사자암에 쓰러져 있던 것으로 1917년 대적전 앞으로 옮겨 세운 것이다.
24,020111080005,0201,1108,0005,갑사 석조약사여래입상,Stone Yakushi Nyorai granular,갑사지구,제50호,1,1,1.00000000000,충청남도 공주시 계룡면 중장리 52,충청남도 공주시 계룡면 갑사로 567-3,종교신앙유적,불상,문화유산지구,고려시대,2,갑사,갑사,0,2,170.00000000000,127.18702490000,36.36464460000,Y,"갑사 동쪽 계곡으로 약 100여m 떨어진 거리에 자연암석으로 형성된 동굴이 있고, 그 내부에 남향하여 고려중기 것으로 보이는 갑사 석조약사여래입상(甲寺 石造藥師如來立像)이 있다."
25,020111140014,0201,1114,0014,공주 갑사 공우탑,Gongju gapsa gongwootap,갑사지구,,1,1,0.00000000000,충청남도 공주시 계룡면 중장리 산47-1,충청남도 공주시 계룡면 갑사로 476-18,종교신앙유적,불탑,문화유산지구,시대미상,2,갑사,갑사,1,1,170.00000000000,127.18696560000,36.36460300000,Y,공우탑은 갑사 대웅전에서 대적전에 이르는 계곡변 기슭에 있는데 본래 갑사의 부속 암자에 있던 것을 이곳으로 옮긴 것이라 전하고 있다.
26,020111020008,0201,1102,0008,공주 갑사 철당간,Gapsa Cheoldanggan,갑사지구,제256호,1,1,0.00000000000,충청남도 공주시 계룡면 중장리 58,,종교신앙유적,기타,문화유산지구,통일신라,3,갑사,갑사,1,1,155.00000000000,127.18540000000,36.36477040000,Y,절에 행사가 있을 때 절 입구에 당(幢)이라는 깃발을 달아두는데 이 깃발을 달아두는 장대를 당간(幢竿)이라 하며 장대를 양쪽에서 지탱해 주는 두 돌기둥을 당간지주라 한다.
27,020111140015,0201,1114,0015,공주 갑사구곡 석각군,Gongju gapsa gugok seokgakgun,갑사지구,,1,9,0.00000000000,충청남도 공주시 계룡면 중장리,,예술관련유적,각석,문화유산지구,조선시대,3,없음,윤덕영,0,3,140.00000000000,127.18311430000,36.36859600000,Y,갑사계곡 아홉 골짜기를 별장으로 삼았던 윤덕영(尹德榮 1884~1941)이 갑사와 30년 기한으로 임대하여 갑사 주변에 간성장(艮成莊)이라는 별장을 짓고 수정봉에서 내려오는 계곡을 따라 올라가며 절승을 이룬 곳마다 큰 바윗돌에 이름을 새겼는데 이를 갑사구곡이라 한다.
28,020111140001,0201,1114,0001,갑사 괴목대신제(甲寺 槐木大神祭),Goemokdaesin je,갑사지구,,1,1,0.00000000000,충청남도 공주시 계룡면 중장리,,무형,"설화(전설,민담)",집단시설지구,조선시대,2,갑사,없음,0,2,115.00000000000,127.17839250000,36.37176220000,Y,계룡산 갑사(甲寺) 입구에 큰 노거수가 한 그루 있는데 이 곳에서 매년 정월 초사흘에 승려와 마을 주민들이 모여 당산제(堂山祭)를 지낸다. '갑사 괴목대신제(甲寺 槐木大神祭)'는 당산신과 승려가 공존 공생하게 되었다는 괴목 당산제의 기원에 관계된 내용을 담고 있다.
29,020111100001,0201,1110,0001,계룡산 초혼각지,Gyeryongsan chohongakji,동학사지구,제18호,1,1,0.00000000000,충청남도 공주시 반포면 학봉리 산789,,민속유적,제사유적,문화유산지구,조선시대,1,동학사,숙모회,0,2,230.00000000000,127.22041360000,36.35320760000,Y,단종을 폐위할 때 뜻을 굽히지 않고 절의를 지켜 죽어간 사육신 이하 여러 충신들을 세조 2년(1456)에 생육신인 매월당 김시습이 이곳 계룡산에 와서 제단을 마련하고 이들을 위해 초혼제를 지내어 영혼들을 위로하였다고 전해진다.
30,020111120004,0201,1112,0004,동학사 삼층석탑,Donghakas three storied pagoda,동학사지구,제58호,1,1,0.00000000000,충청남도 공주시 반포면 학봉리 789,충청남도 공주시 반포면 동학사1로 462,종교신앙유적,불탑,문화유산지구,고려시대,1,동학사,동학사,0,1,230.00000000000,127.21987500000,36.35322320000,Y,현재는 동학사 내에 자리하고 있지만 원래는 청량사(남매탑이 있는곳)라는 암자에 있던 것을 이곳으로 옮겨 놓았다. 1층 기단(基壇) 위로 3층의 탑신(塔身)을 올린 석탑인데 없어진 3층 탑신부 몸돌을 새것으로 해넣었다.
31,020111120005,0201,1112,0005,삼은각,Sameungak,동학사지구,제59호,1,1,0.00000000000,충청남도 공주시 반포면 학봉리 789,충청남도 공주시 반포면 동학사1로 462,위인선현유적,기타,문화유산지구,조선시대,1,사단법인숙모회,사단법인숙모회,0,1,230.00000000000,127.22051890000,36.35331730000,Y,"충청남도 공주시 반포면 학봉리에 소잭하고 1984.5.17. 문화재자료 제67호로 지정되었으며, 현재 숙모회에서 소유 관리하고 있다. 단종(1441~1457)과 단종의 죽음을 막기 위해 노력한 충신들의 위패를 모신 사당이다."
32,020111120006,0201,1112,0006,숙모전,Sukmojeon,동학사지구,제67호,1,3,0.00000000000,충청남도 공주시 반포면 학봉리 789,충청남도 공주시 반포면 동학사1로 462,민속유적,제당,문화유산지구,조선시대,1,사단법인숙모회,사단법인숙모회,0,1,230.00000000000,127.22037360000,36.35340030000,Y,단종(1441~1457)과 단종이 죽음을 막기 위해 노력한 충신들의 위패를 모신 사당이다. 이곳은 원래 초혼각으로서 사육신의 시신을 장례한 후 제사지내던 곳이었다.
33,020111140012,0201,1114,0012,동학사 홍살문,Donghakas hongsalmun,동학사지구,,1,1,0.00000000000,충청남도 공주시 반포면 학봉리 산18,충청남도 공주시 반포면 동학사1로 346,종교신앙유적,기타,문화유산지구,시대미상,2,동학사,동학사,0,2,245.00000000000,127.22175620000,36.35340370000,Y,홍살문은 일반 사찰에서 보기 힘들지만 동학사홍살문은 사찰 경내에 유교적 성격의 숙모전 동계사 삼은각 초혼각지 등의 영향으로 절에다 설치한 것으로 보인다.
34,020111020001,0201,1102,0001,공주 동학사 목조석가여래삼불좌상 및 복장유물,"Donghakas wooden Sakyamuni sambul sedentary
",동학사지구,제1719호,4,80,0.00000000000,충청남도 공주시 반포면 학봉리 789,충청남도 공주시 반포면 동학사1로 462,종교신앙유적,불상,문화유산지구,조선시대,3,대한불교조계종 동학,대한불교조계종 동학,0,3,270.00000000000,127.21959360000,36.35445270000,Y,"공주 동학사 목조석가여래삼불좌상 및 복장유물은 복장에서 발견된 조성발원문을 통해 1606년이라는 정확한 조성시기와 제작자, 그리고 제작에 참여한 제작주체를 분명히 알 수 있어 조선 중·후기 불교조각사 연구에 기준이 되는 자료이다."
35,020111120003,0201,1112,0003,동학사 삼성각,Donghakas samseonggak,동학사지구,제57호,1,1,0.00000000000,충청남도 공주시 반포면 학봉리 789,충청남도 공주시 반포면 동학사1로 462,종교건축,불교건축(사찰),문화유산지구,조선시대,2,동학사,동학사,0,2,235.00000000000,127.21962960000,36.35339180000,Y,통일신라 724년(성덕왕 23) 상원사라하여 처음 지은 현재의 동학사에 있는 건물로 삼성(칠성·산신·독성)의 탱화를 모신 곳이다.
36,020111020003,0201,1102,0003,공주 청량사지 오층석탑,Cheongryangsa Five storied pagoda,동학사지구,제1284호,1,1,0.00000000000,충청남도 공주시 반포면 학봉리 산18,충청남도 공주시 반포면 동학사1로 346,종교신앙유적,불탑,문화유산지구,고려시대,3,동학사,동학사,1,3,615.00000000000,127.21395610000,36.36265550000,Y,이 오층석탑은 청량사터의 오누이탑 혹은 남매탑으로 불리는 두 개의 석탑 중 하나다. 백제 석탑의 영향을 받은 고려시대 석탑으로 1단의 기단 위에 5층의 탑신을 하고 있다.
37,020111020004,0201,1102,0004,공주 청량사지 칠층석탑,Cheongryangsa Seven storied pagoda,동학사지구,제1285호,1,1,0.00000000000,충청남도 공주시 반포면 학봉리 산18,충청남도 공주시 반포면 동학사1로 346,종교신앙유적,불탑,문화유산지구,고려시대,3,동학사,동학사,1,3,615.00000000000,127.21391020000,36.36266240000,Y,청량사터에는 두 기의 석탑이 있다. 이 탑들을 일러 오누이탑 혹은 남매탑이라 부르고 있는데 그 중 하나가 칠층석탑이다. 고려시대 중기에 만든 것으로 추정된다.
38,020111140007,0201,1114,0007,남매탑 전설,Nammaetap legend,동학사지구,,1,1,0.00000000000,충청남도 공주시 반포면 학봉리 산 18번지,충청남도 공주시 계룡면 갑사로 476-14,무형,"설화(전설,민담)",문화유산지구,고려시대,1,대한불교조계종 동학,동학사,0,1,615.00000000000,127.21390830000,36.36266110000,Y,"계룡산국립공원 내 동학사에서 갑사로 가는 산중턱에 두 개의 탑이 나란히 서있다. 이 탑을 오뉘탑 또는 남매탑으로 부르고 있는데, 옛 청량사(淸凉寺) 터에 있기에 청량사지쌍탑으로 불리기도 한다."
39,020111140013,0201,1114,0013,계룡산 성터,Gyeryongsan castle ruins,갑사지구,,1,10,0.00000000000,충청남도 공주시,,정치국방유적,성곽(성책),자연보존지구,통일신라,3,대한불교조계종,해당없음,0,3,440.00000000000,127.19594440000,36.34588890000,Y,계룡산국립공원 신원사 주차장에서 연천봉을 향한 탐방로를 따라 한시간 남짓 올라가다 보면 어느 순간 돌무지를 밟으며 그 곳을 지나게 된다. 무수한 돌들이 잔뜩 모여 있는 그 곳이 바로 계룡산 성터이다.
40,020111140004,0201,1114,0004,고왕암과 마명암 전설(古王庵과 馬鳴庵 傳說),Gowangam and Mamyeongam legend,신원사지구,,1,1,0.00000000000,충청남도 공주시 계룡면 양화리,,무형,"설화(전설,민담)",문화유산지구,백제,3,대한불교조계종 신원,없음,0,3,280.00000000000,127.19461610000,36.33993860000,Y,"신원사(新元寺)에서 등운암 방향으로 약 2.3㎞ 오르면 고왕암(古王庵)이라는 암자가 있다. 이 암자는 백제 말 의자왕(義慈王) 20년(庚申)에 창건되었다고 하며, 조선 세종 원년에 서함(西函)화상이 중건하였고, 1928년에 청운(淸雲)화상이 다시 고쳐지었다고 한다."
41,020111010001,0201,1101,0001,신원사 노사나불괘불탱,Sinwonsa Nosanabulgwaebultaeng,신원사지구,제299호,1,1,0.00000000000,충청남도 공주시 계룡면 양화리 8 신원사,충청남도 공주시 계룡면 신원사동길 1,기타유형,회화,문화유산지구,조선시대,2,신원사,신원사,0,2,115.00000000000,127.18425000000,36.33552120000,Y,신원사노사나불괘불탱은 화엄종의 주불인 비로자나불을 대신하여 노사나불이 영취산에서 설법하는 장면인 영산화상을 그린 괘불이다.
42,020111080003,0201,1108,0003,신원사 대웅전,Sinwonsa Daeungjeon,신원사지구,제80호,1,1,0.00000000000,충청남도 공주시 계룡면 양화리 8,충청남도 공주시 계룡면 신원사동길 1,종교건축,불교건축(사찰),문화유산지구,조선시대,2,신원사,신원사,0,2,115.00000000000,127.18396380000,36.33570510000,Y,충청남도 공주시 계룡면 양화리에 소재하고 있는 신원사 대웅전은 1978년 12월 30일 충청남도 유형문화재 제80호로 지정되었으며 현재 신원사에서 소유 관리하고 있다.
43,020111080004,0201,1108,0004,신원사 오층석탑,Sinwonsa five storied pagoda,신원사지구,제31호,1,1,0.00000000000,충청남도 공주시 계룡면 양화리 8,충청남도 공주시 계룡면 신원사동길 1,종교신앙유적,불탑,문화유산지구,고려시대,2,신원사,신원사,1,2,115.00000000000,127.18493530000,36.33484980000,Y,신원사 중악단 정면(남쪽)에 놓여있는 2층 기단 위에 4층의 탑신부만 남아 있는 일반적인 오층석탑이다. 신라 석탑의 양식을 계승한 고려시대 전기의 석탑으로 보인다.
44,020111020002,0201,1102,0002,공주 계룡산 중악단,Gyeryongsan jungakdan,신원사지구,제1293호,1,3,0.00000000000,충청남도 공주시 계룡면 양화리 산8,,민속유적,제당,문화유산지구,조선시대,2,신원사,신원사,0,2,120.00000000000,127.18491980000,36.33544670000,Y,중악단은 국가에서 계룡산신에게 제사 지내기 위해 마련한 조선시대의 건축물이다. 본래 계룡산은 신라시대 5악의 하나로 제사를 지냈다.
45,020111140002,0201,1114,0002,계룡산 산신제(鷄龍山 山神祭),Gyeryongsan sansinje,갑사지구,,1,1,0.00000000000,충청남도 공주시 계룡면 중장리,,무형,"설화(전설,민담)",자연환경지구,시대미상,2,신원사 등,계룡산산신제보존회,0,2,120.00000000000,127.18489030000,36.33543860000,Y,"계룡산 산신제(鷄龍山 山神祭)가 시작된 연도에 관한 기록은 남아 있지 않지만, '계룡산 산신제'는 조선조까지 국행제로 지내오던 것이 일제시대를 거치면서 단절되었다."
46,020111140009,0201,1114,0009,연천봉 바위 석각,Yeoncheonbong rock Carvings,갑사지구,,1,1,0.00000000000,충청남도 공주시 계룡면 양화리 산12번지,,예술관련유적,각석,자연보존지구,조선시대,3,대한불교조계종 신원,없음,0,3,740.00000000000,127.19149470000,36.35003210000,Y,계룡산 연천봉 바위에「방백마각(方百馬角) 구혹화생(口或禾生)」이라 새겨진 석각이 있는데 '4백 82년 후에 나라가 망한다'는 뜻을 내포한 참자(讒字)라고 알려져 있다.
47,040111120003,0401,1112,0003,속초 신흥사 부도군,Sokcho Shinheung Temple budogun,설악동지구,제115호,1,19,0.00000000000,강원도 속초시 설악동 산26-11,,종교신앙유적,부도,집단시설지구,조선시대,3,신흥사,신흥사,0,3,200.00000000000,128.49308930000,38.17344400000,Y,신흥사 부도군은 설악산 소공원 동쪽에 자리하고 있으며 인조 22년(1644)에 신흥사가 중건된 이후 역대 고승들의 부도를 단일 장소에 조성하였다. 총 19기로서 석종형 10기 원당형 9기 비석 6기가 있다.
48,040111140031,0401,1114,0031,저항령취봉당산삼터,Jeohangryeong chwibongdang sansamteo,설악동지구,,1,1,0.00000000000,강원도 속초시 노학동 일원,,무형,"설화(전설,민담)",자연보존지구,시대미상,2,없음,없음,0,3,1050.00000000000,128.42232490000,38.18030060000,Y,저항령은 늘목이 노무록으로 변하고 이것을 한자로 장항(獐項)이라고 표기하여 거기에 다시 고개 령(嶺)자가 합쳐져서 장항령이라고 하던 것이 발음상 저항령으로 변한다.
49,040111140035,0401,1114,0035,울산바위전설,Ulsan rock legend,설악동지구,,1,1,0.00000000000,속초시 노학동 일원,,무형,"설화(전설,민담)",자연보존지구,시대미상,1,설악산국립공원,설악산국립공원,0,1,725.00000000000,128.46977450000,38.19685240000,Y,울산바위는 설악산을 대표하는 대표적인 경관으로써 웅장함이 대단하다. 이에 강원도 속초시에서 울산바위라는 지명에 대한 의구심이 많이 생긴다.
50,040111080003,0401,1108,0003,신흥사 보제루,Shinheung Temple bojeru,설악동지구,제104호,1,1,0.00000000000,강원도 속초시 설악동 170,,종교건축,불교건축(사찰),자연보존지구,조선시대,2,신흥사,신흥사,0,2,225.00000000000,128.48462210000,38.17599840000,Y,신흥사보제루는 사천왕문을 지나 극락보전에 이르기 전에 있으며 장방형의 누각이다.
51,040111080004,0401,1108,0004,신흥사 경판,Shinheung Temple kyung plate,설악동지구,제15호,1,280,0.00000000000,강원도 속초시 설악동 170번지,,종교신앙유적,기타,자연보존지구,조선시대,1,신흥사,신흥사,0,2,225.00000000000,128.48444440000,38.17611110000,Y,현재 이 경판은 명부전에 보관되어 있으며 불설대보부모은중경 언해본(佛說大報父母恩重經) 묘법연화경(妙法蓮華經) 다라니경(多羅尼經) 등이 남아 있다.
